2018-05-07 15:52:37,476 (7f481a95d700) :  DEBUG (runtime:717) - Handling request GET /:/prefixes
2018-05-07 15:52:37,477 (7f481a95d700) :  DEBUG (runtime:814) - Found route matching /:/prefixes
2018-05-07 15:52:37,477 (7f481a95d700) :  DEBUG (runtime:924) - Response: [200] MediaContainer, 148 bytes
2018-05-07 15:52:37,482 (7f47faffd700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.agents.imdb/messaging/function/X0FnZW50S2l0OlNlYXJjaA__/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoyCmRpY3QKZGljdAo2CnMyCmVuczQKbGFuZ2IwczYKbWFudWFsYjFzNwpwcmltYXJ5aTAKczcKdmVyc2lvbnIxCnM2Cmt3YXJnc3M1Ck1vdmllczEwCm1lZGlhX3R5cGU2CnMxNgphOTU3NTBiNGQ5ODZiZGYzczE3Cm9wZW5TdWJ0aXRsZXNIYXNoczYKTW92aWVzczQKbmFtZXMxMTkKJTJGZGF0YSUyRmZpbGVzJTJGTW92aWVzJTJGNyUyMGpvdXJzJTIwZGUlMjB2b3lhZ2UlMjBzYW5zJTIwYXJnZW50JTIwZW4lMjBFdXJvcGUlMjAobWVyY3JlZGklMjAxOEgwMCktNDRmSVk0VkpJTm8lMkVta3ZzOApmaWxlbmFtZXM0MAo1NTdjYzVjMmFhNDZlYmM1Y2UzM2FmNmUxNTlhMDA3ZGYxMWE2N2UxczgKcGxleEhhc2hzMgotMXM4CmR1cmF0aW9uczEKMXMyCmlkcjAK
2018-05-07 15:52:37,492 (7f47faffd700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.agents.imdb/messaging/function/X0FnZW50S2l0OlNlYXJjaA__/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoyCmRpY3QKZGljdAo2CnMyCmVuczQKbGFuZ2IwczYKbWFudWFsYjFzNwpwcmltYXJ5aTAKczcKdmVyc2lvbnIxCnM2Cmt3YXJnc3M1Ck1vdmllczEwCm1lZGlhX3R5cGU2CnMxNgphOTU3NTBiNGQ5ODZiZGYzczE3Cm9wZW5TdWJ0aXRsZXNIYXNoczYKTW92aWVzczQKbmFtZXMxMTkKJTJGZGF0YSUyRmZpbGVzJTJGTW92aWVzJTJGNyUyMGpvdXJzJTIwZGUlMjB2b3lhZ2UlMjBzYW5zJTIwYXJnZW50JTIwZW4lMjBFdXJvcGUlMjAobWVyY3JlZGklMjAxOEgwMCktNDRmSVk0VkpJTm8lMkVta3ZzOApmaWxlbmFtZXM0MAo1NTdjYzVjMmFhNDZlYmM1Y2UzM2FmNmUxNTlhMDA3ZGYxMWE2N2UxczgKcGxleEhhc2hzMgotMXM4CmR1cmF0aW9uczEKMXMyCmlkcjAK
2018-05-07 15:52:37,492 (7f47faffd700) :  INFO (agentkit:957) - Searching for matches for {'openSubtitlesHash': 'a95750b4d986bdf3', 'name': 'Movies', 'filename': '%2Fdata%2Ffiles%2FMovies%2F7%20jours%20de%20voyage%20sans%20argent%20en%20Europe%20(mercredi%2018H00)-44fIY4VJINo%2Emkv', 'plexHash': '557cc5c2aa46ebc5ce33af6e159a007df11a67e1', 'duration': '-1', 'id': '1'}
2018-05-07 15:52:37,493 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/library/metadata/1/tree'
2018-05-07 15:52:37,497 (7f47faffd700) :  INFO (__init__:152) - checking hash search vector: https://meta.plex.tv/movie/hash/55/557cc5c2aa46ebc5ce33af6e159a007df11a67e1.xml
2018-05-07 15:52:37,498 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'https://meta.plex.tv/movie/hash/55/557cc5c2aa46ebc5ce33af6e159a007df11a67e1.xml'
2018-05-07 15:52:37,799 (7f47faffd700) :  ERROR (networking:219) - Error opening URL 'https://meta.plex.tv/movie/hash/55/557cc5c2aa46ebc5ce33af6e159a007df11a67e1.xml'
